Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G_minus_PK,PK,PKatt,CrdY,CrdR,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,Url
2019,Chelsea,Premier League,Eden Hazard,BEL,FW,27,1991,37,32,2923,32.5,16,15,12,4,4,2,0,0.49,0.46,0.95,0.37,0.83,https://fbref.com/en/players/a39bb753/Eden-Hazard
2016,Dortmund,Bundesliga,Henrikh Mkhitaryan,ARM,"MF,FW",26,1989,31,28,2571,28.6,11,15,11,0,0,5,0,0.39,0.53,0.91,0.39,0.91,https://fbref.com/en/players/dd0daf32/Henrikh-Mkhitaryan
2018,Manchester City,Premier League,Leroy Sané,GER,FW,21,1996,32,27,2419,26.9,10,15,10,0,0,4,0,0.37,0.56,0.93,0.37,0.93,https://fbref.com/en/players/2b114be3/Leroy-Sane
2017,Tottenham,Premier League,Christian Eriksen,DEN,MF,24,1992,36,36,3157,35.1,8,15,8,0,0,0,0,0.23,0.43,0.66,0.23,0.66,https://fbref.com/en/players/980522ec/Christian-Eriksen
2012,Manchester City,Premier League,David Silva,ESP,"FW,MF",25,1986,36,33,2800,31.1,6,15,6,0,0,0,0,0.19,0.48,0.68,0.19,0.68,https://fbref.com/en/players/e2716bd0/David-Silva
2020,Lazio,Serie A,Luis Alberto,ESP,MF,26,1992,36,36,3113,34.6,6,15,5,1,1,5,0,0.17,0.43,0.61,0.14,0.58,https://fbref.com/en/players/5294a83f/Luis-Alberto
2016,Barcelona,La Liga,Lionel Messi,ARG,FW,28,1987,33,31,2729,30.3,26,14,23,3,7,3,0,0.86,0.46,1.32,0.76,1.22,https://fbref.com/en/players/d70ce98e/Lionel-Messi
2021,Tottenham,Premier League,Harry Kane,ENG,FW,27,1993,35,35,3082,34.2,23,14,19,4,4,1,0,0.67,0.41,1.08,0.55,0.96,https://fbref.com/en/players/21a66f6a/Harry-Kane
2010,Chelsea,Premier League,Frank Lampard,ENG,MF,31,1978,36,36,3218,35.8,22,14,12,10,11,0,0,0.62,0.39,1.01,0.34,0.73,https://fbref.com/en/players/268df6b1/Frank-Lampard
2019,Dortmund,Bundesliga,Jadon Sancho,ENG,"FW,MF",18,2000,34,26,2461,27.3,12,14,12,0,0,2,0,0.44,0.51,0.95,0.44,0.95,https://fbref.com/en/players/dbf053da/Jadon-Sancho
2013,Napoli,Serie A,Marek Hamšík,SVK,MF,25,1987,38,37,3266,36.3,11,14,11,0,0,2,0,0.3,0.39,0.69,0.3,0.69,https://fbref.com/en/players/e6ad16b2/Marek-Hamsik
2018,Lazio,Serie A,Luis Alberto,ESP,"MF,FW",24,1992,34,32,2669,29.7,11,14,10,1,2,5,0,0.37,0.47,0.84,0.34,0.81,https://fbref.com/en/players/5294a83f/Luis-Alberto
2013,Bayern Munich,Bundesliga,Franck Ribéry,FRA,"FW,MF",29,1983,27,24,2110,23.4,10,14,10,0,0,2,0,0.43,0.6,1.02,0.43,1.02,https://fbref.com/en/players/f61c7c4e/Franck-Ribery
2010,Werder Bremen,Bundesliga,Mesut Özil,GER,MF,20,1988,31,29,2596,28.8,9,14,8,1,2,2,0,0.31,0.49,0.8,0.28,0.76,https://fbref.com/en/players/16380240/Mesut-Ozil
2011,Manchester Utd,Premier League,Nani,POR,"FW,MF",23,1986,33,31,2659,29.5,9,14,9,0,1,1,0,0.3,0.47,0.78,0.3,0.78,https://fbref.com/en/players/15e9c7e6/Nani
2014,Barcelona,La Liga,Cesc Fàbregas,ESP,"FW,MF",26,1987,36,28,2460,27.3,8,14,6,2,2,4,0,0.29,0.51,0.8,0.22,0.73,https://fbref.com/en/players/33508c78/Cesc-Fabregas
2018,Bayern Munich,Bundesliga,Thomas Müller,GER,"FW,MF",27,1989,29,22,2005,22.3,8,14,8,0,0,4,0,0.36,0.63,0.99,0.36,0.99,https://fbref.com/en/players/3c6089ab/Thomas-Muller
2020,Paris S-G,Ligue 1,Ángel Di María,ARG,"FW,MF",31,1988,26,23,2000,22.2,8,14,7,1,2,2,0,0.36,0.63,0.99,0.32,0.95,https://fbref.com/en/players/19cda00b/Angel-Di-Maria
